user_id,variant,city,age_group,acquisition,app_open,kyc_started,kyc_completed,first_transaction,repeat_use,kyc_drop_reason
c000000,control,Mumbai,41+,paid_social,1,1,1,1,1,
c000001,control,Pune,25-30,paid_social,1,1,0,0,0,user_abandoned
c000002,control,Bengaluru,18-24,organic,1,1,1,1,1,
c000003,control,Hyderabad,18-24,organic,1,1,1,1,1,
c000004,control,Delhi,25-30,organic,1,1,1,1,0,
c000005,control,Kolkata,31-40,referral,1,1,0,0,0,session_timeout
c000006,control,Bengaluru,25-30,organic,1,0,0,0,0,
c000007,control,Mumbai,31-40,referral,1,1,1,1,0,
c000008,control,Chennai,41+,influencer,1,1,0,0,0,doc_upload_failed
c000009,control,Bengaluru,18-24,referral,1,1,1,1,1,
c000010,control,Mumbai,25-30,organic,1,0,0,0,0,
c000011,control,Bengaluru,41+,influencer,1,1,1,1,0,
c000012,control,Hyderabad,31-40,organic,1,1,1,0,0,
c000013,control,Hyderabad,18-24,organic,1,1,1,1,0,
c000014,control,Pune,25-30,organic,1,1,0,0,0,selfie_mismatch
c000015,control,Chennai,25-30,referral,1,1,1,1,1,
c000016,control,Hyderabad,18-24,referral,1,0,0,0,0,
c000017,control,Mumbai,25-30,influencer,1,1,1,1,1,
c000018,control,Pune,31-40,paid_social,1,0,0,0,0,
c000019,control,Chennai,18-24,influencer,1,1,0,0,0,user_abandoned
c000020,control,Mumbai,18-24,organic,1,1,0,0,0,user_abandoned
c000021,control,Bengaluru,25-30,referral,1,1,1,1,0,
c000022,control,Mumbai,25-30,paid_social,1,1,0,0,0,user_abandoned
c000023,control,Mumbai,25-30,referral,1,1,1,1,1,
c000024,control,Bengaluru,18-24,email,1,1,1,1,0,
c000025,control,Mumbai,31-40,influencer,1,1,0,0,0,session_timeout
c000026,control,Hyderabad,25-30,referral,1,1,0,0,0,session_timeout
c000027,control,Bengaluru,18-24,paid_social,1,1,1,1,1,
c000028,control,Hyderabad,18-24,paid_social,1,1,0,0,0,doc_upload_failed
c000029,control,Mumbai,18-24,email,1,0,0,0,0,
c000030,control,Mumbai,31-40,influencer,1,1,1,1,1,
c000031,control,Pune,41+,paid_social,1,1,1,1,0,
c000032,control,Pune,31-40,paid_social,1,1,1,0,0,
c000033,control,Hyderabad,18-24,organic,1,1,1,1,1,
c000034,control,Hyderabad,31-40,organic,1,1,1,1,0,
c000035,control,Hyderabad,31-40,paid_social,1,1,1,1,1,
c000036,control,Mumbai,41+,referral,1,0,0,0,0,
c000037,control,Hyderabad,31-40,referral,1,1,1,1,0,
c000038,control,Mumbai,18-24,paid_social,1,1,0,0,0,user_abandoned
c000039,control,Pune,25-30,organic,1,0,0,0,0,
c000040,control,Delhi,41+,email,1,0,0,0,0,
c000041,control,Mumbai,25-30,influencer,1,1,1,1,0,
c000042,control,Hyderabad,25-30,organic,1,1,0,0,0,doc_upload_failed
c000043,control,Delhi,31-40,paid_social,1,1,0,0,0,session_timeout
c000044,control,Mumbai,31-40,influencer,1,0,0,0,0,
c000045,control,Pune,25-30,referral,1,0,0,0,0,
c000046,control,Hyderabad,31-40,influencer,1,0,0,0,0,
c000047,control,Mumbai,25-30,organic,1,1,1,1,1,
c000048,control,Mumbai,25-30,organic,1,1,0,0,0,session_timeout
c000049,control,Bengaluru,25-30,influencer,1,1,1,1,1,
c000050,control,Delhi,25-30,paid_social,1,0,0,0,0,
c000051,control,Kolkata,25-30,referral,1,0,0,0,0,
c000052,control,Mumbai,25-30,organic,1,1,0,0,0,user_abandoned
c000053,control,Hyderabad,25-30,organic,1,1,1,1,0,
c000054,control,Hyderabad,18-24,email,1,0,0,0,0,
c000055,control,Delhi,25-30,referral,1,1,1,1,1,
c000056,control,Bengaluru,18-24,organic,1,0,0,0,0,
c000057,control,Hyderabad,25-30,organic,1,1,1,1,1,
c000058,control,Mumbai,25-30,paid_social,1,1,1,1,1,
c000059,control,Pune,31-40,organic,1,1,0,0,0,doc_upload_failed
c000060,control,Delhi,41+,paid_social,1,1,0,0,0,session_timeout
c000061,control,Delhi,41+,referral,1,0,0,0,0,
c000062,control,Pune,18-24,organic,1,1,1,1,0,
c000063,control,Bengaluru,18-24,influencer,1,1,0,0,0,doc_upload_failed
c000064,control,Bengaluru,31-40,paid_social,1,0,0,0,0,
c000065,control,Chennai,31-40,organic,1,1,0,0,0,user_abandoned
c000066,control,Kolkata,25-30,referral,1,0,0,0,0,
c000067,control,Mumbai,41+,influencer,1,1,0,0,0,selfie_mismatch
c000068,control,Bengaluru,41+,referral,1,0,0,0,0,
c000069,control,Mumbai,31-40,referral,1,1,0,0,0,doc_upload_failed
c000070,control,Mumbai,41+,email,1,1,0,0,0,session_timeout
c000071,control,Mumbai,18-24,paid_social,1,0,0,0,0,
